name,genres,activeYears,associatedActs,instruments,url,description
Jimi Hendrix,60's Rock,1963 to 1970,The Jimi Hendrix Experience; Curtis Knight and the Squires; Jimmy James and the Blue Flames; Band of Gypsies,guitar; vocals; bass; drums,https://en.wikipedia.org/wiki/Jimi_Hendrix,
The Doors,60's Rock,,,,https://en.wikipedia.org/wiki/The_Doors,
The Who,60's Rock,,,,https://en.wikipedia.org/wiki/The_Who,
Janis Joplin,60's Rock; psychedelic rock; blues; soul,1962 to 1970,Big Brother and the Holding Company; Kozmic Blues Band; Full Tilt Boogie Band; Grateful Dead; Kris Kristofferson,Vocals,https://en.wikipedia.org/wiki/Janis_Joplin,"Janis Lyn Joplin (January 19, 1943 â€“ October 4, 1970) was an American rock singer and songwriter; one of the most successful and widely-known female rock stars of her era. After releasing three albums, she died of a heroin overdose at the age of 27. A fourth album, Pearl, was released in January 1971, just over three months after her death. It reached number one on the Billboard charts."
Bob Dylan,60's Rock,,,,https://en.wikipedia.org/wiki/Bob_Dylan,
Creedence Clearwater Revival,60's Rock,,,,https://en.wikipedia.org/wiki/Creedence_Clearwater_Revival,
Buffalo Springfield,60's Rock,,,,https://en.wikipedia.org/wiki/Buffalo_Springfield,
Jefferson Airplane,60's Rock,,,,https://en.wikipedia.org/wiki/Jefferson_Airplane,
Blind melon,Alternative,,,,https://en.wikipedia.org/wiki/Blind_Melon,
Danger Mouse,Alternative,,,,https://en.wikipedia.org/wiki/Danger_Mouse_(musician),
The White Stripes,Alternative,,,,https://en.wikipedia.org/wiki/The_White_Stripes,
The Raconteurs,Alternative,,,,https://en.wikipedia.org/wiki/The_Raconteurs,
Red Hot Chili Peppers,Alternative,,,,https://en.wikipedia.org/wiki/Red_Hot_Chili_Peppers,
Cake,Alternative,,,,https://en.wikipedia.org/wiki/Cake_(band),
Nirvana,Alternative Rock / Grunge,,,,https://en.wikipedia.org/wiki/Nirvana_(band),
Soundgarden,Alternative Rock / Grunge,,,,https://en.wikipedia.org/wiki/Soundgarden,
Audioslave,Alternative Rock / Grunge,,,,https://en.wikipedia.org/wiki/Audioslave,
Primus,Alternative Rock / Grunge,,,,https://en.wikipedia.org/wiki/Primus_(band),
Queens of the Stone Age,Alternative Rock / Grunge,,,,https://en.wikipedia.org/wiki/Queens_of_the_Stone_Age,
Staind,Alternative Rock / Grunge,,,,https://en.wikipedia.org/wiki/Staind,
Pearl Jam,Alternative Rock / Grunge,,,,https://en.wikipedia.org/wiki/Pearl_Jam,
Deftones,Alternative Rock / Grunge,,,,https://en.wikipedia.org/wiki/Deftones,
Temple of the Dog,Alternative Rock / Grunge,,,,https://en.wikipedia.org/wiki/Temple_of_the_Dog,
Rage against the Machine,Alternative Rock / Grunge,,,,https://en.wikipedia.org/wiki/Rage_Against_the_Machine,
System of a Down,Alternative Rock / Grunge,,,,https://en.wikipedia.org/wiki/System_of_a_Down,
Bush,Alternative Rock / Grunge,,,,https://en.wikipedia.org/wiki/Bush_(British_band),
Stone Temple Pilots,Alternative Rock / Grunge,,,,https://en.wikipedia.org/wiki/Stone_Temple_Pilots,
Jane's Addiction,Alternative Rock / Grunge,,,,https://en.wikipedia.org/wiki/Jane%27s_Addiction,
Tool,Alternative Rock / Grunge,,,,https://en.wikipedia.org/wiki/Tool_(band),
A Perfect Circle,Alternative Rock / Grunge,,,,https://en.wikipedia.org/wiki/A_Perfect_Circle,
Foo Fighters,Alternative Rock / Grunge,,,,https://en.wikipedia.org/wiki/Foo_Fighters,
Puscifer,Alternative Rock / Grunge,,,,https://en.wikipedia.org/wiki/Puscifer,
Chevelle,Alternative Rock / Grunge,,,,https://en.wikipedia.org/wiki/Chevelle_(band),
Seether,Alternative Rock / Grunge,,,,https://en.wikipedia.org/wiki/Seether,
Nine Inch Nails,Alternative Rock / Grunge,,,,https://en.wikipedia.org/wiki/Nine_Inch_Nails,
Puddle of Mudd,Alternative Rock / Grunge,,,,https://en.wikipedia.org/wiki/Puddle_of_Mudd,
Fuel,Alternative Rock / Grunge,,,,https://en.wikipedia.org/wiki/Fuel_(band),
Sick Puppies,Alternative Rock / Grunge,,,,https://en.wikipedia.org/wiki/Sick_Puppies,
Shinedown,Alternative Rock / Grunge,,,,https://en.wikipedia.org/wiki/Shinedown,
Theory of a Deadman,Alternative Rock / Grunge,,,,https://en.wikipedia.org/wiki/Theory_of_a_Deadman,
Hinder,Alternative Rock / Grunge,,,,https://en.wikipedia.org/wiki/Hinder,
Pop Evil,Alternative Rock / Grunge,,,,https://en.wikipedia.org/wiki/Pop_Evil,
Papa Roach,Alternative Rock / Grunge,,,,https://en.wikipedia.org/wiki/Papa_Roach,
Alice in Chains,Alternative Rock / Grunge,,,,https://en.wikipedia.org/wiki/Alice_in_Chains,
Breaking Benjamin,Alternative Rock / Grunge,,,,https://en.wikipedia.org/wiki/Breaking_Benjamin,
Bon Jovi,Arena / Glam Rock,,,,https://en.wikipedia.org/wiki/Bon_Jovi,
Def Leppard,Arena / Glam Rock,,,,https://en.wikipedia.org/wiki/Def_Leppard,
Motley Crue,Arena / Glam Rock,,,,https://en.wikipedia.org/wiki/M%C3%B6tley_Cr%C3%BCe,
AC/DC,Classic Rock,,,,https://en.wikipedia.org/wiki/AC/DC,
Metallica,Classic Rock,,,,https://en.wikipedia.org/wiki/Metallica,
Queen,Classic Rock,,,,https://en.wikipedia.org/wiki/Queen_(band),
Tom Petty,Classic Rock,,,,https://en.wikipedia.org/wiki/Tom_Petty,
